"identificationKeyType","identificationKey","itemDescription","qualifierPath","linkType","ianaLanguage","context","mimeType","linkTitle","targetUrl","defaultLinktype","defaultIanaLanguage","defaultContext","defaultMimeType","fwqs","active","dateInserted","dateLastUpdated"
"gtin","00745883713370","Nick Test with GS1 USA GTIN","/","gs1:pip","en","us","text/html","Product Info","http://lansley.com/test.html","Y","Y","Y","Y","N","Y","2020-08-27T14:17:06.830Z","2020-08-27T14:17:06.830Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/lot/ABC","gs1:traceability","xx","xx","text/html","Traceability (batch level)","https://dalgiardino.com/risotto-rice-with-mushrooms/lot/ABC/","N","Y","Y","Y","Y","Y","2020-08-27T14:22:24.347Z","2020-08-27T14:22:24.347Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/lot/DEF","gs1:traceability","xx","xx","text/html","Traceability (batch level)","https://dalgiardino.com/risotto-rice-with-mushrooms/lot/DEF/","N","Y","Y","Y","Y","Y","2020-08-27T14:22:24.357Z","2020-08-27T14:22:24.357Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/lot/ABC/ser/123","gs1:traceability","xx","xx","text/html","Traceability (item level)","https://dalgiardino.com/risotto-rice-with-mushrooms/lot/ABC/ser/123","N","Y","Y","Y","Y","Y","2020-08-27T14:22:24.363Z","2020-08-27T14:22:24.363Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:hasRetailers","en","xx","text/html","Where to buy","https://dalgiardino.com/where-to-buy/","Y","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:hasRetailers","es","xx","text/html","Donde comprar Dal Giardino","https://dalgiardino.com/where-to-buy/index.html.es","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:hasRetailers","vi","xx","text/html","Nơi bán","https://dalgiardino.com/where-to-buy/index.html.vi","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:pip","en","xx","text/html","Product information","https://dalgiardino.com/risotto-rice-with-mushrooms/","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:pip","es","xx","text/html","Información del Producto","https://dalgiardino.com/risotto-rice-with-mushrooms/index.html.es","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:pip","ja","xx","text/html","Product information","https://dalgiardino.com/risotto-rice-with-mushrooms/index.html.ja","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
"gtin","09506000134352","Dal Giardino Risotto Rice with Mushrooms 411g","/","gs1:pip","vi","xx","text/html","Trang thông tin sản phẩm","https://dalgiardino.com/risotto-rice-with-mushrooms/index.html.vi","N","Y","Y","Y","Y","Y","2020-06-29T15:36:09.753Z","2020-08-27T14:22:24.250Z"
